group_name,first_sighted,last_sighted,group_slug,n_members
Brain Injury Awareness,2021-02-10,2021-02-11,BrainInjuryAwarenessSupportGroup,14000.0
Brantry Walking for Health training,2020-12-02,2020-12-02,481279189114720,41.0
Breast Implant Illness Healing,2021-03-26,2021-03-26,breastimplantillnesshealing,308.0
"Breast Implant Illness Research & Recovery, Inc. Group",2021-03-26,2021-03-26,biireserahchandrecovery,10000.0
Breast Implant Illness SoCal Group,2021-03-26,2021-03-26,123030031698685,
Broken Chains (Bikers with a passion for Celebrate Recovery),2021-02-11,2021-03-02,BrokenChainsJC,5700.0
Brown University School of Public Health Accepted Students,2021-04-08,2021-04-08,218652386026931,
Buckeye Cruisers Health and Wellness Challenge,2021-04-02,2021-04-18,2193522704207985,75.0
Buddhist Recovery Network,2020-12-16,2021-03-13,BuddhistRecoveryNetwork,1500.0
Bullet Journaling * Mental Health,2021-02-11,2021-02-11,2532758936843737,12000.0
Business & Confidence Boost for Health Coaches,2021-03-24,2021-03-28,796082097104741,4400.0
Business Leaders for Medicare for All Group,2020-12-29,2020-12-29,814392025659839,395.0
BÁNH HEALTHY,2020-12-06,2021-04-23,BANHHEALTHY,88000.0
CANCER CARE - MEDICAL CURE,2021-01-05,2021-01-05,308078693519071,5400.0
CCN 2021 Fresh Start Healthy Heart,2021-02-10,2021-02-10,168334634684918,560.0
CHUBBY AND HEALTHY BABY FOOD. NURSING MOTHERS,2021-02-19,2021-02-27,714599982004209,214000.0
CK: MENTAL WELLNESS & RECOVERY 🌊,2021-04-07,2021-04-07,2741556506097767,326.0
CLEAN AND SOBER - Addiction Recovery Support Group,2021-02-06,2021-02-06,cleanandsoberaddictionsupport,76000.0
CLIENT GETTING❣️💰❣️A GROUP FOR HEALTH COACHES,2021-03-29,2021-04-07,badasserybusiness,2800.0
CMTUS - Charcot-Marie-Tooth Disease - A place for US!,2020-12-02,2020-12-02,cmtus,6900.0
CNY Restaurant take out Menus during Covid-19,2020-12-05,2021-01-14,2812474848982256,9300.0
COME SIT AROUND THE SACRED MEDICINE FIRE,2021-03-17,2021-04-23,156360002249829,1900.0
CONE HEALTH ZUMBA FITNESS,2021-03-13,2021-04-08,329327537195435,215.0
COPD Exercise To Healthy Living,2021-02-24,2021-03-01,483313128759846,6000.0
CORONAVIRUS & DENTISTRY,2020-12-10,2020-12-11,CoronaDentistry,15000.0
COURT REPORTING and COVID-19,2020-12-05,2020-12-06,162572951400905,944.0
COVID 19 TACOMA community Help,2021-03-19,2021-03-21,482242342657549,3300.0
COVID Comedy Central,2021-03-19,2021-03-19,CovidComedy,153.0
COVID Vaccine Discussion Group,2021-01-12,2021-01-12,justthevaxfacts,572.0
"COVID by Numbers: Denton, Texas",2020-12-17,2020-12-18,1444659699046554,1600.0
COVID-19 Community Theatre Resource Group,2021-01-02,2021-01-02,2532082613709416,2000.0
COVID-19 INFO FOR MEXICO (JALISCO/NAYARIT FOCUS),2021-02-07,2021-02-08,Covidinfo4mexico,
COVID-19 Illinois prison and inmate support of speaking to reporter.,2021-03-22,2021-03-23,208265423932411,
COVID-19 Long Haulers Support,2021-01-08,2021-01-08,373920943948661,4400.0
COVID-19 ONE WORLD LIVING TOGETHER,2021-01-04,2021-01-13,3392690287408996,1800.0
COVID-19 SBA PAYCHECK PROTECTION PROGRAM,2021-03-23,2021-03-23,3024802157585477,62.0
COVID-19 Survivors Group UK,2021-02-05,2021-02-20,COVID19SurvivorsGroup,1400.0
COVID-19 Unemployment Support BC,2021-03-22,2021-03-23,354646615486874,
COVID-19: Canadian-American Families Separated,2021-03-14,2021-03-15,1598327527009962,2300.0
COVID-19: INSTANT HELP,2021-04-25,2021-04-27,226121689294289,1400.0
COVID19 - Recovered,2021-03-23,2021-04-02,634920963734167,92.0
COVID19 Corvallis small biz support group,2021-02-26,2021-02-26,895169300930662,275.0
COVID19 Resource Discussion Group,2021-03-22,2021-03-22,621892765326413,
Calc Medic Teacher Community,2021-03-17,2021-04-10,284659332816440,715.0
Caliburn COVID-19 Crisis Relief Team Texas/ Florida,2021-01-19,2021-01-19,1063016094085716,2300.0
California - UI and Pandemic Unemployment Assistance,2020-12-16,2020-12-17,californiapua,9000.0
Callison Healthy Habits Challenge,2021-04-06,2021-04-06,356526148742943,24.0
"Can We Hug? Badges for SCA events, Covid or not",2021-04-28,2021-04-28,2091747344465371,96.0
Canna cooking and recipes for health,2021-02-22,2021-04-30,1856429224613968,49000.0
Cannabis Medicinal Argentina CABA,2020-12-17,2020-12-17,1716877788585682,7800.0
Caregivers' of Parkinson's Disease Support Group,2021-04-06,2021-04-06,pdcare,11000.0
Cauda Equina Syndrome,2021-02-28,2021-02-28,34376446328,3200.0
"Cavalier King Charles Spaniel Fans of Michigan: Support, Health, & Advocacy",2021-03-23,2021-03-24,189004584568405,1500.0
Cel - Hacking Health & Beauty,2021-01-26,2021-02-03,CELhackinghealthandbeauty,7300.0
Celebrate Recovery,2021-01-09,2021-01-12,ALMCR,676.0
Celebrate Recovery - Southern Oregon,2021-03-15,2021-03-17,229110527148914,426.0
Celebrate Recovery Arizona,2021-02-15,2021-02-15,198363240206462,2700.0
Celebrate Recovery Liberty IN,2021-04-06,2021-04-16,2154471904637013,1000.0
Celebrate Recovery North Georgia,2021-01-02,2021-01-02,1703708936585100,894.0
Celebrate Recovery Radiant Church,2021-04-03,2021-04-03,678386863042193,39.0
Celebrate Recovery- Sunnybrook Community Church,2021-03-18,2021-03-18,664898597579321,100.0
Celiac Disease & NCGS Support Group,2021-02-20,2021-03-17,Celiacdiseasesupport,19000.0
Celiac Disease Support Group,2021-02-15,2021-02-15,439977909536082,36000.0
Celiac Disease-Gluten Free Support Group,2021-02-25,2021-02-26,1960316204295033,25000.0
Central Virginia Relic Recovery,2021-03-05,2021-03-08,1803389003012645,1100.0
Certified Clinical Medical Assistant- CCMA,2021-02-04,2021-02-05,CertifiedClinicalMedicalAssistant,18000.0
Charlie Rabbits with Megacolon or Cowpile Syndrome,2021-01-25,2021-04-10,423805227951295,481.0
Chattanooga Mental Health Professionals,2021-03-13,2021-03-13,ChattanoogaMHP,598.0
Cheesecake Factory COVID-19 affecting employees,2020-12-16,2020-12-27,737221810016290,7400.0
"Chicken Respiratory Diseases: Information, Help & Support",2020-12-16,2020-12-16,381727643241021,1000.0
Child & Adolescent Mental Health & Wellbeing Collaborative,2020-12-06,2020-12-06,growtherapy,17000.0
Cholesteatoma - The Hidden Disease,2020-12-16,2021-01-16,cholesteatoma,5700.0
Chris Caster's Health Club,2021-03-19,2021-04-06,chriscaster,4200.0
Christian Divorce Recovery,2021-03-01,2021-03-01,christiandivorcerecovery,789.0
Christian Divorce Recovery for Women,2021-03-21,2021-04-30,christiandivorcerecoveryforwomen,3300.0
